7zip 26.02-1
a52dec 0.8.0-3
abseil-cpp 20260526.0-2
accounts-qml-module 0.7-7
accountsservice 26.27.3-1
acl 2.4.0-1
ada 3.4.4-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
albert 34.0.10-1
albert-debug 34.0.10-1
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
amd-ucode 20260622-1
antigravity 1.23.2-1
antigravity-cli 1.0.1_5826024320139264-1
aom 3.14.1-1
appmenu-glib-translator-git 25.04.r8.gaea4ea3-1
appmenu-glib-translator-git-debug 25.04.r8.gaea4ea3-1
appmenu-gtk-module 25.04-3
appstream 1.1.5-1
appstream-qt 1.1.5-1
archlinux-appstream-data 20260722-1
archlinux-keyring 20260727-1
aspnet-runtime-9.0 9.0.18.sdk119-1
asusctl 6.3.6-1
asusctl-debug 6.3.6-1
at-spi2-core 2.60.6-1
attica 6.28.0-1
attr 2.6.0-1
audit 4.2.1-1
aurorae 6.7.3-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
awww 0.12.1-1
ayatana-ido 0.10.4-1
aylurs-gtk-shell 3.1.2-1
aylurs-gtk-shell-debug 3.1.2-1
baloo 6.28.0-1
baloo-widgets 26.04.3-1
base 3-3
base-devel 1-2
bash 5.3.15-1
bc 1.08.2-1
bcc 0.36.1-3
binutils 2.47-1
bison 3.8.2-8
blas 3.12.1-2
bluedevil 1:6.7.3-1
blueman 2.4.6-2
bluez 5.87-2
bluez-libs 5.87-2
bluez-qt 6.28.0-1
bluez-utils 5.87-2
bolt 0.9.11-1
boost 1.91.0-2
boost-libs 1.91.0-2
breeze 6.7.3-1
breeze-cursors 6.7.3-1
breeze-gtk 6.7.3-1
breeze-icons 6.28.0-1
breeze-plymouth 6.7.3-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
btop 1.4.7-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.126-1
ca-certificates-utils 20240618-1
cabextract 1.11-3
cage 0.3.1-1
cairo 1.18.4-1
cairomm-1.16 1.18.1-1
cblas 3.12.1-2
