accounts-qml-module 0.7-7
albert 34.0.10-1
albert-debug 34.0.10-1
antigravity 1.23.2-1
antigravity-cli 1.0.1_5826024320139264-1
appmenu-glib-translator-git 25.04.r8.gaea4ea3-1
appmenu-glib-translator-git-debug 25.04.r8.gaea4ea3-1
asusctl 6.3.6-1
asusctl-debug 6.3.6-1
aylurs-gtk-shell 3.1.2-1
aylurs-gtk-shell-debug 3.1.2-1
claude-desktop-bin 1.11847.5-3
debtap 3.6.3-1
flaresolverr-bin 3.5.0-1
google-chrome 150.0.7871.128-1
gtk-engine-murrine 0.98.2-5
gtk-engine-murrine-debug 0.98.2-5
gtk2 2.24.33-5
gtk2-debug 2.24.33-5
kwin-effect-rounded-corners 0.8.7-1
kwin-effect-rounded-corners-debug 0.8.7-1
libastal-4-git r862.41b5029-1
libastal-4-git-debug r862.41b5029-1
libastal-battery-git r862.41b5029-1
libastal-battery-git-debug r862.41b5029-1
libastal-git r862.41b5029-1
libastal-git-debug r862.41b5029-1
libastal-io-git r862.41b5029-1
libastal-io-git-debug r862.41b5029-1
libastal-network-git r862.41b5029-1
libastal-network-git-debug r862.41b5029-1
libastal-notifd-git r862.41b5029-1
libastal-notifd-git-debug r862.41b5029-1
libastal-tray-git r862.41b5029-1
libastal-tray-git-debug r862.41b5029-1
libastal-wireplumber-git r862.41b5029-1
libastal-wireplumber-git-debug r862.41b5029-1
libwireplumber-4.0-compat 0.4.17-2
libwireplumber-4.0-compat-debug 0.4.17-2
litehtml0.9 0.9-2
plasma6-applets-panel-colorizer 7.0.1-1
plasma6-applets-panel-colorizer-debug 7.0.1-1
plasma6-applets-resources-monitor 3.2.1-1
plasma6-applets-thermal-monitor 0.2.7-1
plasma6-applets-window-title 0.9.0-2
prowlarr-bin 2.5.2.5491-1
python-pkg_resources 81.0.0-1
python310 3.10.19-1
radarr-bin 6.3.0.10514-1
sddm-theme-sugar-candy-git r41.a1fae51-1
sonarr-bin 4.0.19.2979-1
supergfxctl 5.2.7-2
ta-lib 0.6.4-1
ta-lib-debug 0.6.4-1
ttf-segoe-ui-variable 1.0-1
unarc-git r1.adc333d-1
unarc-git-debug r1.adc333d-1
wine-ge-custom-bin-opt 1:GE_Proton8_26-1
yaru-gtk-theme 26.04.5.1ubuntu-1
yaru-icon-theme 26.04.5.1ubuntu-1
yaru-sound-theme 26.04.5.1ubuntu-1
yay 12.5.7-1
yay-debug 12.5.7-1
